Combination no,Combination,Mean Absolute Error
9,'Ref/Doc',1.1401426550546907
368,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.1405848130946363
116,"'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",1.145803894864419
227,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",1.1485460163083308
211,"'H Index', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.165611066976089
127,"'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.1724049599731672
89,"'H Index', 'Total Cites(3years)', 'Citable Docs(3years)'",1.1737000249811869
195,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.1740188378782994
238,"'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.1764499997767426
336,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.1820591903492417
346,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.2062428350432046
438,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.2108118768838614
330,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.2124069957563213
205,"'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.2134772579228512
231,"'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.7770943010892961
361,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.7828847003360553
104,"'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.7896257156341182
225,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.7914669654244466
114,"'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.79825668512641
241,"'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.7989254792149436
40,"'Total Cites(3years)', 'Citable Docs(3years)'",1.801934978231616
120,"'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.802696851947906
3,'Total Docs(2017)',1.8242048682088816
25,"'Total Docs(2017)', 'Total Docs(3years)'",1.8373824038957598
111,"'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",1.8402098360325334
28,"'Total Docs(2017)', 'Citable Docs(3years)'",1.8463447884903748
97,"'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)'",1.8471515233610356
37,"'Total Refs', 'Citable Docs(3years)'",1.8519930463740202
101,"'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)'",1.8812676218046616
96,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)'",1.884272538105974
222,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",1.8881011457055568
4,'Total Docs(3years)',1.8912964381109538
27,"'Total Docs(2017)', 'Total Cites(3years)'",1.898984300483724
33,"'Total Docs(3years)', 'Citable Docs(3years)'",1.8992993713260973
7,'Citable Docs(3years)',1.914112857769393
32,"'Total Docs(3years)', 'Total Cites(3years)'",1.9562893741940004
95,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs'",2.0464206273649133
221,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",2.1049949424281627
26,"'Total Docs(2017)', 'Total Refs'",2.6360508351889487
36,"'Total Refs', 'Total Cites(3years)'",2.9013511450360117
110,"'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",2.9818723839688954
31,"'Total Docs(3years)', 'Total Refs'",3.214830081530041
5,'Total Refs',3.2195200562222817
100,"'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)'",3.60600470683368
6,'Total Cites(3years)',3.8048299133926022
