Combination no,Combination,Mean Squared error,Root Mean Squared Error
160,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.1879669672286668,1.089938974084635
176,"'SJR', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.1884459920039008,1.0901587003752713
301,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.1902490963656693,1.0909853786213954
68,"'SJR', 'Total Cites(3years)', 'Citable Docs(3years)'",1.2070573653368988,1.098661624585522
106,"'Total Docs(2017)', 'Total Cites(3years)', 'Ref/Doc'",1.2996835929468133,1.1400366629836136
417,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.308781531464805,1.144019899942656
295,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.3098920120915745,1.1445051385168938
311,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.3121987415673602,1.1455124362342646
30,"'Total Docs(2017)', 'Ref/Doc'",1.325818858174383,1.1514420776462806
170,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.333959963646553,1.154971845391286
99,"'Total Docs(2017)', 'Total Docs(3years)', 'Ref/Doc'",1.3454391941998478,1.1599306850841768
103,"'Total Docs(2017)', 'Total Refs', 'Ref/Doc'",1.3462040500804122,1.1602603372004114
224,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",1.358374238843069,1.1654931311865673
108,"'Total Docs(2017)', 'Citable Docs(3years)', 'Ref/Doc'",1.3836058043180508,1.1762677434657685
35,"'Total Docs(3years)', 'Ref/Doc'",1.388825790401394,1.178484531252487
235,"'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",1.389430371567854,1.1787410112352306
113,"'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",1.4021734186669959,1.184134037458174
39,"'Total Refs', 'Ref/Doc'",1.4207988238623386,1.1919726607025594
229,"'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.4262233807064415,1.1942459464894328
44,"'Citable Docs(3years)', 'Ref/Doc'",1.4365371780117866,1.1985562890460284
363,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",1.4374848317069453,1.198951555196016
124,"'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",1.4587911179416473,1.2078042548118662
365,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",1.4626880816837855,1.2094164219505974
460,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.464516933220189,1.2101722741908232
118,"'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.4720862672102437,1.2132956223485865
245,"'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",1.4845362843162095,1.2184154809900478
372,"'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.4996220212950426,1.2245905525093042
211,"'H Index', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.520980680478237,1.2332804549161707
243,"'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",1.5238047640557002,1.234424871774585
89,"'H Index', 'Total Cites(3years)', 'Citable Docs(3years)'",1.5348267419234962,1.23888124609403
195,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)'",1.5547037136023438,1.2468775856523944
377,"'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.5728618006237747,1.2541378714574305
336,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.5785186330358947,1.256391114675639
252,"'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.5943353142468042,1.262669915000276
116,"'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",1.6581910683221963,1.287707679685959
227,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",1.6697734228304053,1.2921971300194122
248,"'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.6880493543660042,1.2992495350647635
368,"'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.6964774031650225,1.3024889263118602
127,"'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",1.7113754573867197,1.3081954966237728
346,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.7147061703801099,1.3094678958951647
438,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",1.7296390930118146,1.3151574403894823
